model,Date,Ticker,Sector,position_weight,position_dollars,transaction_cost_pct,gross_contribution_pct,net_contribution_pct,benchmark_contribution_pct,net_outperformance_contribution_pct,predicted_outperformance_probability
extra_trees,2012-01-02 04:15:13,pfe,Health Care,0.005454474597379089,545.4474597379088,0.0013636186493447722,0.11143491602445478,0.11007129737511001,0.08721704881209164,0.022854248563018376,0.9290945670755908
extra_trees,2012-01-07 09:19:59,wmt,Consumer Staples,0.005429524875135889,542.9524875135888,0.0013573812187839722,0.10821043076145827,0.1068530495426743,0.09311635160858049,0.013736697934093808,0.92484472578064
extra_trees,2012-01-14 11:04:15,wmt,Consumer Staples,0.0054124962870804325,541.2496287080432,0.0013531240717701081,0.09802030775902663,0.09666718368725652,0.09028043806850161,0.006386745618754908,0.9219441405153066
extra_trees,2012-01-08 08:59:52,aapl,Information Technology,0.005404040247088569,540.4040247088569,0.001351010061772142,0.17325353032165952,0.1719025202598874,0.09094999735850061,0.08095252290138678,0.9205037706547174
extra_trees,2012-01-30 04:34:27,pfe,Health Care,0.005380826741275752,538.0826741275752,0.001345206685318938,0.1796119966237846,0.17826678993846568,0.0927116447521812,0.08555514518628447,0.9165496698979132
extra_trees,2012-01-01 09:11:12,bac,Financials,0.004943462026699693,494.3462026699693,0.0012358655066749232,0.5429404343924272,0.5417045688857524,0.0790459578069281,0.4626586110788243,0.8420506190931962
extra_trees,2012-10-21 05:19:34,aapl,Information Technology,0.004942167922550955,494.21679225509547,0.0012355419806377387,0.00553522807325707,0.004299686092619331,0.12004525883876269,-0.11574557274614336,0.8418301862884674
extra_trees,2012-10-11 20:20:07,aapl,Information Technology,0.004898650840287541,489.8650840287541,0.0012246627100718852,-0.03527028605007029,-0.03649494876014218,0.10463518194854188,-0.14113013070868405,0.8344176511333221
extra_trees,2012-05-15 15:13:11,aapl,Information Technology,0.004888761277261038,488.8761277261038,0.0012221903193152595,-0.047958748129930784,-0.049180938449246044,0.1337076209330894,-0.18288855938233545,0.8327331003824413
extra_trees,2012-03-11 13:28:28,pfe,Health Care,0.004860168846371261,486.0168846371261,0.0012150422115928153,0.17705595107330505,0.17584090886171222,0.0774224897226942,0.09841841913901803,0.8278627738780442
extra_trees,2013-01-16 07:42:48,wmt,Consumer Staples,0.004833076000302786,483.3076000302786,0.0012082690000756965,0.06587482588412698,0.06466655688405128,0.13508447420846287,-0.07041791732441159,0.8232478809787481
extra_trees,2013-01-30 10:59:32,wmt,Consumer Staples,0.004816046689222676,481.60466892226765,0.001204011672305669,0.047197257554382234,0.04599324588207657,0.10518245969262326,-0.05918921381054669,0.8203471725561308
extra_trees,2013-09-02 11:16:26,wmt,Consumer Staples,0.004785934903631438,478.5934903631438,0.0011964837259078596,0.030725702081313835,0.029529218355405975,0.11960051324174964,-0.09007129488634366,0.8152180449200415
extra_trees,2012-01-01 23:06:14,wfc,Financials,0.004757445590479491,475.74455904794905,0.0011893613976198727,0.13011613689961407,0.1289267755019942,0.07607155499176706,0.05285522051022713,0.8103652831009822
extra_trees,2012-09-23 15:53:29,aapl,Information Technology,0.004747283430645856,474.72834306458566,0.001186820857661464,-0.0812260194983506,-0.08241284035601205,0.0903882765194971,-0.17280111687550914,0.8086342992412865
extra_trees,2012-06-29 09:46:31,pfe,Health Care,0.004708653945515401,470.86539455154013,0.0011771634863788503,0.1230842141357726,0.12190705064939375,0.09652740588306573,0.02537964476632802,0.8020542988905875
extra_trees,2012-10-14 22:45:50,wmt,Consumer Staples,0.004703602178230794,470.36021782307944,0.0011759005445576985,0.004233241960407715,0.003057341415850016,0.10465514846563517,-0.10159780704978516,0.8011937999636122
extra_trees,2012-10-19 19:14:02,wmt,Consumer Staples,0.004659154156413427,465.9154156413427,0.0011647885391033567,0.011880843098854238,0.01071605455975088,0.11312426291771802,-0.10240820835796713,0.7936226920868579
extra_trees,2013-05-08 21:34:35,wmt,Consumer Staples,0.004657044720249007,465.7044720249007,0.0011642611800622518,0.01420398639675947,0.01303972521669722,0.0801943100826879,-0.06715458486599069,0.7932633787112127
extra_trees,2012-01-28 00:34:11,ma,Information Technology,0.004656158119416936,465.6158119416936,0.001164039529854234,0.24598483344879674,0.24482079391894251,0.07687317055157362,0.1679476233673689,0.7931123584797429
extra_trees,2013-04-22 02:26:51,wmt,Consumer Staples,0.004628448115050868,462.84481150508685,0.001157112028762717,0.008886620380897667,0.00772950835213495,0.10525091013625675,-0.09752140178412179,0.7883923411709218
extra_trees,2012-01-01 10:02:29,s,Unknown,0.004625784917902573,462.5784917902573,0.0011564462294756433,0.6582954516667152,0.6571390054372396,0.07396630083726215,0.5831727045999774,0.7879387022443199
extra_trees,2012-06-20 10:12:22,wmt,Consumer Staples,0.0045135098722324275,451.3509872232427,0.0011283774680581069,0.04107293983731509,0.03994456236925698,0.0886904689893672,-0.04874590662011021,0.7688141957335701
extra_trees,2013-01-30 10:11:50,pfe,Health Care,0.004323907240267015,432.3907240267015,0.0010809768100667537,0.06386410993874381,0.06278313312867706,0.0944341341274316,-0.031651000998754536,0.7365180007257239
